rally,ball_round,time,roundscore_A,roundscore_B,player,type,lose_reason,win_reason,getpoint_player,flaw,db
1,1,00:06:59,0,1,A,發短球,,,,,0
1,2,00:06:59,0,1,B,推球,,,,,0
1,3,00:07:01,0,1,A,切球,,,,,0
1,4,00:07:01,0,1,B,推球,,,,,0
1,5,00:07:03,0,1,A,過度切球,,,,,0
1,6,00:07:04,0,1,B,放小球,,,,,0
1,7,00:07:05,0,1,A,挑球,,,,,0
1,8,00:07:07,0,1,B,殺球,對手落地致勝,落地致勝,B,,0
2,1,00:07:24,1,1,B,發短球,,,,,0
2,2,00:07:24,1,1,A,放小球,,,,,0
2,3,00:07:25,1,1,B,推球,,,,,0
2,4,00:07:26,1,1,A,切球,,,,,0
2,5,00:07:27,1,1,B,推球,,,,,0
2,6,00:07:28,1,1,A,點扣,,,,,0
2,7,00:07:29,1,1,B,擋小球,未過網,對手未過網,A,,0
3,1,00:07:49,2,1,A,發短球,,,,,0
3,2,00:07:50,2,1,B,放小球,出界,對手出界,A,,0
4,1,00:08:06,2,2,A,發短球,,,,,0
4,2,00:08:07,2,2,B,推球,,,,,0
4,3,00:08:08,2,2,A,防守回抽,,,,,0
4,4,00:08:08,2,2,B,推球,,,,,0
4,5,00:08:10,2,2,A,長球,,,,,0
4,6,00:08:11,2,2,B,長球,,,,,0
4,7,00:08:12,2,2,A,過度切球,,,,,0
4,8,00:08:13,2,2,B,撲球,對手落地致勝,落地致勝,B,,0
5,1,00:08:29,3,2,B,發短球,,,,,0
5,2,00:08:30,3,2,A,推球,,,,,0
5,3,00:08:31,3,2,B,過度切球,,,,,0
5,4,00:08:32,3,2,A,放小球,,,,,0
5,5,00:08:33,3,2,B,挑球,,,,,0
5,6,00:08:34,3,2,A,點扣,,,,,0
5,7,00:08:34,3,2,B,防守回挑,,,,,0
5,8,00:08:35,3,2,A,殺球,對手落地致勝,落地致勝,A,,0
6,1,00:08:57,3,3,A,發短球,,,,,0
6,2,00:08:58,3,3,B,推球,,,,,0
6,3,00:08:59,3,3,A,過度切球,,,,,0
6,4,00:08:59,3,3,B,推球,,,,,0
6,5,00:09:00,3,3,A,後場抽平球,,,,,0
6,6,00:09:01,3,3,B,殺球,對手落地致勝,落地致勝,B,,0
7,1,00:09:19,4,3,B,發短球,,,,,0
7,2,00:09:20,4,3,A,推球,,,,,0
7,3,00:09:21,4,3,B,點扣,,,,,0
7,4,00:09:22,4,3,A,擋小球,,,,,0
7,5,00:09:23,4,3,B,推球,,,,,0
7,6,00:09:24,4,3,A,過度切球,,,,,0
7,7,00:09:24,4,3,B,勾球,,,,,0
7,8,00:09:25,4,3,A,放小球,,,,,0
7,9,00:09:26,4,3,B,推球,,,,,0
7,10,00:09:27,4,3,A,長球,,,,,0
7,11,00:09:28,4,3,B,長球,,,,,0
7,12,00:09:29,4,3,A,點扣,,,,,0
