rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:06:59,10478,0,1,A,1,發短球,,1.0,2.0,,,,,8,568.0,328.0,,,,,8,643.0,468.0,8,576.0,304.0,0
1,2,00:06:59,10496,0,1,B,2,推球,,,2.0,8,568.0,328.0,,5,828.0,580.0,,,,,8,592.0,331.0,8,650.0,477.0,0
1,3,00:07:01,10525,0,1,A,2,切球,,,1.0,5,828.0,580.0,,6,748.0,302.0,,,,,9,792.0,592.0,8,638.0,300.0,0
1,4,00:07:01,10547,0,1,B,2,推球,,1.0,2.0,6,748.0,302.0,,8,753.0,583.0,,,,,8,724.0,302.0,8,729.0,504.0,0
1,5,00:07:03,10582,0,1,A,2,過度切球,,,1.0,8,753.0,583.0,,6,775.0,328.0,,,,,8,744.0,576.0,8,638.0,300.0,0
1,6,00:07:04,10605,0,1,B,2,放小球,,1.0,2.0,6,775.0,328.0,,1,784.0,403.0,,,,,8,739.0,328.0,8,676.0,547.0,0
1,7,00:07:05,10630,0,1,A,2,挑球,,,2.0,1,784.0,403.0,,4,760.0,266.0,,,,,1,765.0,420.0,8,717.0,331.0,0
1,8,00:07:07,10679,0,1,B,3,殺球,,,1.0,4,760.0,266.0,,6,463.0,532.0,對手落地致勝,落地致勝,B,,4,763.0,264.0,8,712.0,504.0,0
2,1,00:07:24,11101,1,1,B,1,發短球,,1.0,2.0,,,,,7,556.0,448.0,,,,,8,638.0,307.0,8,552.0,513.0,0
2,2,00:07:24,11120,1,1,A,2,放小球,,,2.0,7,556.0,448.0,,1,482.0,336.0,,,,,8,566.0,482.0,8,616.0,312.0,0
2,3,00:07:25,11142,1,1,B,2,推球,,,2.0,1,482.0,336.0,,3,799.0,592.0,,,,,1,528.0,338.0,8,573.0,470.0,0
2,4,00:07:26,11174,1,1,A,2,切球,,,1.0,3,799.0,592.0,,5,504.0,328.0,,,,,9,751.0,600.0,8,600.0,307.0,0
2,5,00:07:27,11193,1,1,B,2,推球,,,2.0,5,504.0,328.0,,8,732.0,525.0,,,,,8,537.0,324.0,8,696.0,564.0,0
