Score,UpCourt,DownCourt,Start,End,Comment
1_01_00,CHOU Tien Chen,Kento MOMOTA,11495,11654,0
1_02_00,CHOU Tien Chen,Kento MOMOTA,11880,12003,0
1_02_01,CHOU Tien Chen,Kento MOMOTA,12297,12986,0
1_03_01,CHOU Tien Chen,Kento MOMOTA,13433,13582,0
1_03_02,CHOU Tien Chen,Kento MOMOTA,13922,14279,0
1_04_02,CHOU Tien Chen,Kento MOMOTA,14942,15080,0
1_05_02,CHOU Tien Chen,Kento MOMOTA,15373,15504,0
1_06_02,CHOU Tien Chen,Kento MOMOTA,15803,15965,0
1_06_03,CHOU Tien Chen,Kento MOMOTA,16252,16827,0
1_07_03,CHOU Tien Chen,Kento MOMOTA,17422,17645,0
1_07_04,CHOU Tien Chen,Kento MOMOTA,17989,19109,0
1_07_05,CHOU Tien Chen,Kento MOMOTA,19582,20511,0
1_07_06,CHOU Tien Chen,Kento MOMOTA,20952,22145,0
1_08_06,CHOU Tien Chen,Kento MOMOTA,23057,23453,0
1_09_06,CHOU Tien Chen,Kento MOMOTA,23824,24341,0
1_10_06,CHOU Tien Chen,Kento MOMOTA,24977,26086,0
1_10_07,CHOU Tien Chen,Kento MOMOTA,27394,27772,0
1_10_08,CHOU Tien Chen,Kento MOMOTA,28234,28740,0
1_11_08,CHOU Tien Chen,Kento MOMOTA,29122,29369,0
1_11_09,CHOU Tien Chen,Kento MOMOTA,31395,31489,0
1_12_09,CHOU Tien Chen,Kento MOMOTA,31752,31883,0
1_13_09,CHOU Tien Chen,Kento MOMOTA,32347,32622,0
1_14_09,CHOU Tien Chen,Kento MOMOTA,32960,33229,0
1_14_10,CHOU Tien Chen,Kento MOMOTA,33607,34101,0
1_15_10,CHOU Tien Chen,Kento MOMOTA,34895,35296,0
1_16_10,CHOU Tien Chen,Kento MOMOTA,35763,36104,0
1_17_10,CHOU Tien Chen,Kento MOMOTA,36550,37786,0
1_18_10,CHOU Tien Chen,Kento MOMOTA,38385,38581,0
1_18_11,CHOU Tien Chen,Kento MOMOTA,39813,40194,0
1_18_12,CHOU Tien Chen,Kento MOMOTA,40613,41239,0
1_19_12,CHOU Tien Chen,Kento MOMOTA,41737,41830,0
1_20_12,CHOU Tien Chen,Kento MOMOTA,42220,42483,0
1_20_13,CHOU Tien Chen,Kento MOMOTA,42789,43108,0
1_20_14,CHOU Tien Chen,Kento MOMOTA,43686,43827,0
1_20_15,CHOU Tien Chen,Kento MOMOTA,44110,44199,0
1_21_15,CHOU Tien Chen,Kento MOMOTA,44406,44840,0
2_01_00,Kento MOMOTA,CHOU Tien Chen,48503,48622,0
2_01_01,Kento MOMOTA,CHOU Tien Chen,48965,49125,0
2_01_02,Kento MOMOTA,CHOU Tien Chen,49579,49728,0
2_01_03,Kento MOMOTA,CHOU Tien Chen,50026,50115,0
2_01_04,Kento MOMOTA,CHOU Tien Chen,50310,50409,0
2_02_04,Kento MOMOTA,CHOU Tien Chen,50707,50937,0
2_02_05,Kento MOMOTA,CHOU Tien Chen,51259,51734,0
2_03_05,Kento MOMOTA,CHOU Tien Chen,52411,52487,0
2_04_05,Kento MOMOTA,CHOU Tien Chen,52735,53734,0
2_04_06,Kento MOMOTA,CHOU Tien Chen,55075,55439,0
2_04_07,Kento MOMOTA,CHOU Tien Chen,55878,56433,0
2_05_07,Kento MOMOTA,CHOU Tien Chen,56789,57193,0
2_06_07,Kento MOMOTA,CHOU Tien Chen,57975,58141,0
2_06_08,Kento MOMOTA,CHOU Tien Chen,58809,59014,0
2_06_09,Kento MOMOTA,CHOU Tien Chen,59384,59616,0
2_06_10,Kento MOMOTA,CHOU Tien Chen,59962,60291,0
2_06_11,Kento MOMOTA,CHOU Tien Chen,60651,60850,0
2_07_11,Kento MOMOTA,CHOU Tien Chen,62722,63098,0
2_08_11,Kento MOMOTA,CHOU Tien Chen,63725,64259,0
2_09_11,Kento MOMOTA,CHOU Tien Chen,64674,64786,0
2_10_11,Kento MOMOTA,CHOU Tien Chen,65181,65507,0
2_10_12,Kento MOMOTA,CHOU Tien Chen,65977,66310,0
2_10_13,Kento MOMOTA,CHOU Tien Chen,66723,66944,0
2_11_13,Kento MOMOTA,CHOU Tien Chen,67615,68707,0
2_11_14,Kento MOMOTA,CHOU Tien Chen,70161,70995,0
2_11_15,Kento MOMOTA,CHOU Tien Chen,71546,71705,0
2_12_15,Kento MOMOTA,CHOU Tien Chen,72022,72285,0
2_13_15,Kento MOMOTA,CHOU Tien Chen,72845,73895,0
2_13_16,Kento MOMOTA,CHOU Tien Chen,74461,74658,0
2_13_17,Kento MOMOTA,CHOU Tien Chen,75069,75630,0
2_14_17,Kento MOMOTA,CHOU Tien Chen,76918,77114,0
2_14_18,Kento MOMOTA,CHOU Tien Chen,77762,77913,0
2_15_18,Kento MOMOTA,CHOU Tien Chen,78225,78755,0
2_16_18,Kento MOMOTA,CHOU Tien Chen,79795,80586,0
2_17_18,Kento MOMOTA,CHOU Tien Chen,82382,82534,0
2_17_19,Kento MOMOTA,CHOU Tien Chen,83819,84715,0
2_17_20,Kento MOMOTA,CHOU Tien Chen,85834,86218,0
2_17_21,Kento MOMOTA,CHOU Tien Chen,87111,87546,0
3_01_00,CHOU Tien Chen,Kento MOMOTA,91172,91309,0
3_02_00,CHOU Tien Chen,Kento MOMOTA,91657,92010,0
3_03_00,CHOU Tien Chen,Kento MOMOTA,92739,93143,0
3_04_00,CHOU Tien Chen,Kento MOMOTA,93557,93913,0
3_05_00,CHOU Tien Chen,Kento MOMOTA,94819,95098,0
3_05_01,CHOU Tien Chen,Kento MOMOTA,95800,96625,0
3_05_02,CHOU Tien Chen,Kento MOMOTA,97153,97574,0
3_05_03,CHOU Tien Chen,Kento MOMOTA,98065,98463,0
3_06_03,CHOU Tien Chen,Kento MOMOTA,99926,100363,0
3_07_03,CHOU Tien Chen,Kento MOMOTA,101532,102111,0
3_07_04,CHOU Tien Chen,Kento MOMOTA,103047,103408,0
