rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,0:07:39,11496,1,0,A,1,發短球,,1.0,2,,,,1,7,620,407,,,,,8,651,544,8,594,373,0
1,2,00:07:43,11582,1,0,B,3,長球,,1.0,2,7,620.0,407.0,2,13,825,679,出界,對手出界,A,,8,598,394,8,640,560,0
2,1,0:07:55,11881,2,0,A,1,發短球,,1.0,2,,,,2,8,725,396,,,,,8,620,541,8,732,373,0
2,2,0:07:56,11900,2,0,B,2,推球,,1.0,1,8,725.0,396.0,2,8,527,627,,,,,8,676,393,8,640,558,0
2,3,0:07:56,11921,2,0,A,2,殺球,,,2,8,527.0,627.0,1,8,604,353,,,,,8,558,613,8,625,358,0
2,4,0:07:57,11934,2,0,B,2,擋小球,,1.0,1,8,604.0,353.0,2,7,537,481,,,,,8,599,347,8,586,603,0
2,5,0:07:58,11952,2,0,A,2,撲球,,,2,7,537.0,481.0,1,8,648,357,,,,,8,563,541,8,605,356,0
2,6,0:07:58,11965,2,0,B,3,平球,,,2,8,648.0,357.0,1,12,1012,679,未過網,對手未過網,A,,8,643,366,8,607,555,0
3,1,0:08:11,12298,2,1,A,1,發短球,,1.0,2,,,,1,8,607,372,,,,,8,650,547,8,588,371,0
3,2,0:08:12,12313,2,1,B,2,放小球,,1.0,1,8,607.0,372.0,2,7,532,515,,,,,8,571,393,8,613,549,0
3,3,0:08:13,12331,2,1,A,2,挑球,,,2,7,532.0,515.0,1,3,521,321,,,,,7,517,511,8,599,377,0
3,4,0:08:14,12362,2,1,B,2,殺球,,,1,3,521.0,321.0,2,8,715,566,,,,,9,559,327,8,612,576,0
3,5,0:08:14,12372,2,1,A,2,擋小球,,1.0,1,8,715.0,566.0,2,7,762,404,,,,,8,623,583,9,565,319,0
3,6,0:08:16,12400,2,1,B,2,挑球,,1.0,2,7,762.0,404.0,1,8,514,628,,,,,8,722,386,8,683,573,0
3,7,0:08:17,12429,2,1,A,2,點扣,,,1,8,514.0,628.0,2,8,526,359,,,,,9,586,643,8,632,360,0
3,8,0:08:17,12446,2,1,B,2,擋小球,,,1,8,526.0,359.0,2,7,514,482,,,,,8,563,367,8,591,600,0
