rally_bool,rally_player,rally,ball_round,frame_num,roundscore_A,roundscore_B,player,lose_reason,getpoint_player
False,A,1,1,11496,1,0,A,,
False,A,1,2,11582,1,0,B,出界,A
True,A,2,1,11881,2,0,A,,
True,A,2,2,11900,2,0,B,,
True,A,2,3,11921,2,0,A,,
True,A,2,4,11934,2,0,B,,
True,A,2,5,11952,2,0,A,,
True,A,2,6,11965,2,0,B,未過網,A
False,A,3,1,12298,2,1,A,,
False,A,3,2,12313,2,1,B,,
False,A,3,3,12331,2,1,A,,
False,A,3,4,12362,2,1,B,,
False,A,3,5,12372,2,1,A,,
False,A,3,6,12400,2,1,B,,
False,A,3,7,12429,2,1,A,,
False,A,3,8,12446,2,1,B,,
False,A,3,9,12465,2,1,A,,
False,A,3,10,12492,2,1,B,,
False,A,3,11,12516,2,1,A,,
False,A,3,12,12560,2,1,B,,
False,A,3,13,12577,2,1,A,,
False,A,3,14,12602,2,1,B,,
False,A,3,15,12631,2,1,A,,
False,A,3,16,12655,2,1,B,,
False,A,3,17,12670,2,1,A,,
False,A,3,18,12702,2,1,B,,
False,A,3,19,12735,2,1,A,,
False,A,3,20,12766,2,1,B,,
False,A,3,21,12783,2,1,A,,
False,A,3,22,12810,2,1,B,,
False,A,3,23,12847,2,1,A,,
False,A,3,24,12875,2,1,B,,
False,A,3,25,12886,2,1,A,,
False,A,3,26,12913,2,1,B,,
False,A,3,27,12942,2,1,A,掛網,B
True,B,4,1,13434,3,1,B,,
True,B,4,2,13456,3,1,A,,
True,B,4,3,13478,3,1,B,,
True,B,4,4,13502,3,1,A,,
True,B,4,5,13516,3,1,B,,
True,B,4,6,13523,3,1,A,對手落地致勝,A
False,A,5,1,13923,3,2,A,,
False,A,5,2,13947,3,2,B,,
False,A,5,3,13970,3,2,A,,
False,A,5,4,13979,3,2,B,,
False,A,5,5,14001,3,2,A,,
False,A,5,6,14016,3,2,B,,
False,A,5,7,14044,3,2,A,,
False,A,5,8,14070,3,2,B,,
False,A,5,9,14083,3,2,A,,
False,A,5,10,14107,3,2,B,,
False,A,5,11,14136,3,2,A,,
False,A,5,12,14170,3,2,B,,
False,A,5,13,14188,3,2,A,,
False,A,5,14,14208,3,2,B,,
False,A,5,15,14224,3,2,A,,
False,A,5,16,14245,3,2,B,對手落地致勝,B
True,B,6,1,14943,4,2,B,,
True,B,6,2,14969,4,2,A,,
True,B,6,3,14982,4,2,B,,
True,B,6,4,15015,4,2,A,,
True,B,6,5,15035,4,2,B,未過網,A
False,A,7,1,15374,5,2,A,,
False,A,7,2,15387,5,2,B,,
False,A,7,3,15416,5,2,A,,
False,A,7,4,15433,5,2,B,出界,A
True,A,8,1,15804,6,2,A,,
True,A,8,2,15827,6,2,B,,
True,A,8,3,15840,6,2,A,,
True,A,8,4,15850,6,2,B,,
True,A,8,5,15861,6,2,A,,
True,A,8,6,15881,6,2,B,出界,A
False,A,9,1,16253,6,3,A,,
False,A,9,2,16270,6,3,B,,
False,A,9,3,16292,6,3,A,,
False,A,9,4,16313,6,3,B,,
False,A,9,5,16359,6,3,A,,
False,A,9,6,16373,6,3,B,,
